epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,118678,1.13069,2.88249,0.95776,1.14054,0.51616,0.30702,0.32703,0.21992,0.45666,0.21997,0.22129,0.126,1.35461,3.46774,1.23353,1.14161,6.51944e-05,6.51944e-05,6.51944e-05
110,119732,1.1283,2.87615,0.95102,1.13554,0.51204,0.3101,0.32863,0.2189,0.44596,0.2162,0.21696,0.12442,1.35016,3.40881,1.21544,1.14164,6.36962e-05,6.36962e-05,6.36962e-05
111,120773,1.13709,2.88407,0.95878,1.1397,0.54553,0.30349,0.32712,0.21925,0.44613,0.21674,0.21658,0.12333,1.35642,3.44658,1.22911,1.14181,6.2198e-05,6.2198e-05,6.2198e-05
112,121834,1.13213,2.88489,0.95065,1.13945,0.55493,0.30418,0.32669,0.2195,0.43941,0.22246,0.21703,0.12311,1.35213,3.45281,1.22451,1.14273,6.06998e-05,6.06998e-05,6.06998e-05
113,122866,1.12961,2.87792,0.94942,1.13704,0.57391,0.30564,0.33074,0.21782,0.47005,0.22013,0.22488,0.1254,1.35894,3.44375,1.23559,1.14268,5.92016e-05,5.92016e-05,5.92016e-05
114,123892,1.13288,2.88572,0.95382,1.13769,0.50371,0.31288,0.33397,0.21962,0.44167,0.2235,0.22679,0.12503,1.35007,3.50066,1.22693,1.13909,5.77034e-05,5.77034e-05,5.77034e-05
115,124943,1.13229,2.88036,0.9499,1.13677,0.47166,0.31464,0.33502,0.22368,0.43408,0.22163,0.22483,0.12828,1.34931,3.42415,1.21698,1.13761,5.62052e-05,5.62052e-05,5.62052e-05
116,126003,1.12575,2.87218,0.94749,1.13479,0.48028,0.31237,0.3345,0.22235,0.36418,0.22297,0.22485,0.12956,1.34799,3.44817,1.21783,1.13725,5.4707e-05,5.4707e-05,5.4707e-05
117,127059,1.13374,2.8818,0.95358,1.13996,0.50474,0.31118,0.32745,0.22162,0.43496,0.21962,0.21725,0.12449,1.35352,3.42908,1.23205,1.14537,5.32088e-05,5.32088e-05,5.32088e-05
118,128111,1.12592,2.87355,0.94628,1.13493,0.49906,0.31351,0.3272,0.21881,0.436,0.22296,0.2185,0.12467,1.3513,3.46473,1.2219,1.14129,5.17106e-05,5.17106e-05,5.17106e-05
119,129143,1.12861,2.87047,0.95161,1.13713,0.50117,0.31018,0.33439,0.22317,0.40157,0.22184,0.22532,0.12686,1.36102,3.44157,1.22639,1.15263,5.02124e-05,5.02124e-05,5.02124e-05
120,130174,1.12393,2.87453,0.94167,1.13132,0.47685,0.31145,0.32772,0.22125,0.40518,0.21907,0.21732,0.12467,1.35572,3.45339,1.21973,1.14612,4.87142e-05,4.87142e-05,4.87142e-05
